setting,validity,proximity_cont,proximity_cat,sparsity,causality,manifold,time
01_0.99_256_0.0001_0.1,99.98616682805367,0.03649557277255122,0.0,1.0,1.0,0.18071336014219302,109.47211599349976
01_0.99_256_0.0001_0.2,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,110.08633089065552
1_0.99_128_0.001_0.05,100.0,0.03649218203218515,0.0002593719739936367,1.001521648914096,1.0,0.1807229446822204,110.45810389518738
10_0.99_256_0.0001_0.2,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,114.14503955841064
01_0.99_256_0.001_0.1,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,113.1667811870575
01_0.99_256_0.001_0.2,99.98616682805367,0.036507955174322114,0.0,1.0,1.0,0.1807202776850818,113.90939140319824
10_0.99_256_0.0001_0.1,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,115.45258593559265
01_0.99_256_0.001_0.05,100.0,0.03572831650297416,0.009614054502697469,1.0625259371973994,1.0,0.18095095508665435,113.80931615829468
01_0.99_128_0.0001_0.2,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,112.08545446395874
01_0.99_256_0.0001_0.05,100.0,0.03649605754599533,1.7291464932909115e-05,1.0001383317194632,1.0,0.1807229446822204,114.5301444530487
01_0.99_128_0.0001_0.05,100.0,0.03649744086318996,1.7291464932909115e-05,1.0006916585973165,1.0,0.18072986126819357,111.98359656333923
10_0.99_256_0.0001_0.05,99.98616682805367,0.03649695628112898,0.0,1.0,1.0,0.1807202776850818,116.88256192207336
10_0.99_128_0.0001_0.1,100.0,0.036507124083552396,0.0,1.0002766634389266,1.0,0.1807713607840325,117.08787178993225
10_0.99_256_0.001_0.2,100.0,0.03649605754599533,1.7291464932909115e-05,1.0,1.0,0.1807229446822204,116.94176697731018
10_0.99_128_0.0001_0.2,100.0,0.03631899294508234,0.0022305989763452758,1.0178447918107623,1.0,0.1807229446822204,117.14436292648315
10_0.99_256_0.001_0.1,100.0,0.036460091298934884,0.00013833171946327292,1.0004149951583898,1.0,0.18079211054195202,118.25105237960815
01_0.99_128_0.001_0.2,100.0,0.03655639323096789,0.0,1.0002766634389266,1.0,0.18075061102611306,115.50622510910034
1_0.99_128_0.0001_0.1,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,115.55941247940063
10_0.99_256_0.001_0.05,100.0,0.03638504411546084,0.0019193526075529119,1.01563148429935,1.0,0.18071061020336832,118.61546540260315
10_0.99_128_0.001_0.2,99.86166828053673,0.036959070980651085,0.0,1.000277046682366,1.0,0.18077935546582227,119.48355841636658
10_0.99_128_0.0001_0.05,99.98616682805367,0.036501106806862235,0.0,1.00650249031544,1.0,0.1807410303137481,114.60049605369568
1_0.99_128_0.001_0.2,100.0,0.03678978189698902,0.0,1.0031816295476552,1.0,0.1807496784422027,122.25897574424744
1_0.99_128_0.0001_0.2,100.0,0.03649744086318996,0.0,1.000553326877853,1.0,0.1807229446822204,118.74877214431763
01_0.99_128_0.001_0.05,99.98616682805367,0.03650156797638815,0.00019023242944106252,1.0017985611510791,0.9998616491422246,0.18076178294241435,129.30478048324585
01_0.99_128_0.001_0.1,100.0,0.03644210817540465,0.000743532992115092,1.0058099322174574,1.0,0.18080045756808563,130.72954988479614
10_0.99_128_0.001_0.1,99.04551113570342,0.06874960963898258,1.7458100558659216e-05,1.033659217877095,1.0,0.19152005704999056,128.71934390068054
10_0.99_128_0.001_0.05,99.98616682805367,0.03650518815716661,1.7293857221914775e-05,1.000415052573326,0.9998616491422246,0.1808240408284133,119.1625964641571
1_0.99_128_0.001_0.1,100.0,0.03656321091879912,0.0,1.0004149951583898,1.0,0.18076444419805937,152.64713263511658
1_0.99_256_0.0001_0.2,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,134.70078325271606
1_0.99_256_0.001_0.2,100.0,0.03648775764282753,0.0001210402545303638,1.0011066537557063,1.0,0.1807229446822204,137.51813554763794
1_0.99_128_0.0001_0.05,100.0,0.03649605754599533,1.7291464932909115e-05,1.0001383317194632,0.9998616682805367,0.1807229446822204,136.69357752799988
1_0.99_256_0.001_0.05,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,138.82139992713928
1_0.99_256_0.0001_0.1,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,129.74900436401367
1_0.99_256_0.001_0.1,100.0,0.03630515977313602,0.0024035136256743673,1.019228109005395,1.0,0.1808067859437654,141.08891439437866
01_0.99_128_0.0001_0.1,100.0,0.036484991008438265,0.00015562318439618205,1.0012449854751695,0.9987550145248305,0.1807229446822204,111.90160417556763
1_0.99_256_0.0001_0.05,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,176.63582968711853
0_0.99_128_0.001_0.1,100.0,0.03647669110527047,0.0003112463687923641,1.0033199612671186,1.0,0.18074369444013988,175.87323307991028
0_0.99_128_0.001_0.05,100.0,0.0365218794669618,0.0002593719739936367,1.0020749757919492,1.0,0.18074369444013988,175.20931935310364
0_0.99_256_0.0001_0.1,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,198.61134219169617
100_0.99_256_0.0001_0.1,100.0,0.036498824180384595,0.0,1.0006916585973165,1.0,0.18072986126819357,199.54343605041504
0_0.99_256_0.0001_0.2,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,198.90412664413452
100_0.99_256_0.0001_0.2,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,200.68906950950623
0_0.99_256_0.0001_0.05,100.0,0.03647669110527047,0.0002593719739936367,1.0020749757919492,0.997925024208051,0.1807229446822204,202.93747401237488
100_0.99_128_0.0001_0.2,100.0,0.0367756259510306,0.0,1.0095448886429659,1.0,0.18068577415345127,200.82972288131714
100_0.99_256_0.0001_0.05,100.0,0.036555540185364534,6.916585973163646e-05,1.0009683220362429,1.0,0.1807229446822204,202.91536450386047
0_0.99_128_0.0001_0.2,100.0,0.036494674228800705,3.458292986581823e-05,1.0002766634389266,0.9997233365610735,0.1807229446822204,201.308922290802
0_0.99_128_0.001_0.2,100.0,0.03643837321897914,0.0008645732466454558,1.0029049661087288,0.9998616682805367,0.18076444419805937,201.5867133140564
0_0.99_128_0.0001_0.05,100.0,0.03649744086318996,0.0,1.0,1.0,0.1807229446822204,203.28595352172852
100_0.99_128_0.001_0.2,100.0,0.03666479998708843,0.0,1.0,1.0,0.18078519395597886,202.15096998214722
100_0.99_128_0.0001_0.05,100.0,0.03687183566191731,0.0,1.0135565085074008,1.0,0.18068541401028124,203.45815777778625
0_0.99_128_0.0001_0.1,100.0,0.03662809517222302,0.000899156176511274,1.013694840226864,0.9928067505879098,0.1807286225952954,203.1508994102478
0_0.99_256_0.001_0.05,99.97233365610735,0.0360163276601633,0.005967206309672063,1.0370831603708317,1.0,0.1809554270260468,204.42369198799133
100_0.99_256_0.001_0.05,100.0,0.036581812083736516,0.0,1.0001383317194632,1.0,0.1807575276120862,204.20178365707397
100_0.99_128_0.0001_0.1,100.0,0.03645594134735097,0.0005360354129201826,1.0042882833033615,1.0,0.18084744322973734,204.37562918663025
0_0.99_256_0.001_0.1,100.0,0.03511827362014113,0.005550560243463826,1.028911329367824,0.9997233365610735,0.1799412825703983,201.2981140613556
0_0.99_256_0.001_0.2,96.37570895006225,0.44639490933448195,0.0,1.178843117554184,1.0,0.24790798920701654,378.0650098323822
100_0.99_256_0.001_0.1,57.80882556370176,0.03396063651591293,0.02680067001675042,1.2167982770997847,0.9928212491026561,0.3193537141220749,857.5987112522125
100_0.99_256_0.001_0.2,54.08770231013972,0.4332602301790286,0.01329923273657289,1.4836317135549872,1.0,0.4026658578384188,1029.1097688674927
100_0.99_128_0.001_0.05,7.594411398533683,0.05668849528354505,0.006375227686703097,1.0200364298724955,1.0,0.2949801933356165,1183.9621579647064
100_0.99_128_0.001_0.1,1.4524830543643656,0.0,0.17142857142857143,1.3714285714285714,1.0,0.82834076524623,1318.662671327591
